,AdId,num_faces,face_joylikelihood,face_sorrowLikelihood,face_angerLikelihood,face_surpriseLikelihood,face_description_confidence,landmark_features,labels_description,labels_descriptions_confidence,logo_description,logo_description_confidence,text_descriptions,object_descriptions,object_descriptions_confidence,isAdult,isSpoof,isMedical,isViolence,isRacy
0,A20_08,0,[],[],[],[],[],[],"['Text', 'Font', 'Logo', 'Brand']","[0.9540841579437256, 0.8314544558525085, 0.7939732670783997, 0.6985340714454651]",[],[],"['iviy\nTM\nMySocialCircle.net - MEET\nPEOPLE, DATE, NETWORK your\nBusiness, share VIDEOS, CHAT,\nPost EVENTS, BLOG, share\nMUSIC... 23 Jul 2015\nMSC Team\nFree\n', 'iviy', 'MySocialCircle', 'net', 'MEET', 'PEOPLE', 'DATE', 'NETWORK', 'your', 'Business', 'share', 'VIDEOS', 'CHAT', 'Post', 'EVENTS', 'BLOG', 'share', 'MUSIC', 'Jul', '2015', 'MSC', 'Team', 'Free']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
1,A20_09,2,"['VERY_UNLIKELY', 'VERY_UNLIKELY']","['VERY_UNLIKELY', 'VERY_UNLIKELY']","['VERY_UNLIKELY', 'VERY_UNLIKELY']","['VERY_UNLIKELY', 'VERY_UNLIKELY']","[0.9458692073822021, 0.8170527219772339]",[],"['Text', 'Font', 'Photography']","[0.8692919611930847, 0.6857237815856934, 0.6242249608039856]",[],[],"['Online Dating Tips and Advices 17\nJul 2013\nRangerapps\nFree\n', 'Online', 'Dating', 'Tips', 'and', 'Advices', 'Jul', '2013', 'Rangerapps', 'Free']","['Person', 'Person', 'Person', 'Clothing', 'Clothing']","[0.7279241681098938, 0.6595237255096436, 0.6551691889762878, 0.5228332877159119, 0.5019093155860901]",VERY_UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY
2,A20_14,1,['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],[0.8977615833282471],[],"['Product', 'Mobile phone', 'Gadget', 'Smartphone', 'Communication Device', 'Portable communications device', 'Text', 'Electronic device', 'Website', 'Technology']","[0.9553973078727722, 0.9504517316818237, 0.9489035606384277, 0.9419126510620117, 0.9344374537467957, 0.9305785298347473, 0.9079559445381165, 0.8942499160766602, 0.8914282321929932, 0.8901004195213318]",[],[],"[""tinder\ntinder\nDiscover those around you.\nTinder finds out who likes you nearby and\nconnects you if you're both interested.\nAllison, 22\n22 258\nDownload for iPhone\nDownload for Android\nhTC\n0\n"", 'tinder', 'tinder', 'Discover', 'those', 'around', 'you', 'Tinder', 'finds', 'out', 'who', 'likes', 'you', 'nearby', 'and', 'connects', 'you', 'you', 'both', 'interested', 'Allison', '258', 'Download', 'for', 'iPhone', 'Download', 'for', 'Android', 'hTC']","['Mobile phone', 'Mobile phone', 'Person']","[0.8979392051696777, 0.8948755264282227, 0.8620948195457458]",UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY
3,A20_15,1,['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],[0.9697074890136719],[],"['Product', 'Text', 'Font', 'Line', 'Magenta', 'Technology', 'Website', 'Brand', 'Logo', 'Advertising']","[0.9462587833404541, 0.9324976801872253, 0.804016649723053, 0.7295002341270447, 0.7224808931350708, 0.6757805347442627, 0.6755043864250183, 0.6679456830024719, 0.6350517272949219, 0.5655819177627563]",[],[],"['LOVOO @lovoo\n13 Jun\n12 Millionen Nutzer. Chatte mit LOVOO\nkostenlos mit Single M\xc3\xa4nnern in deiner\nStadt.\nDie beste App um\nLIESE\nzu finden\nJETZT GRATIS TESTEN!\nLOVOO Chat, Flirt, Neue Leute\n4.2/5.0 stars - 153,859 ratings\nInstall\n', 'LOVOO', 'lovoo', 'Jun', 'Millionen', 'Nutzer', 'Chatte', 'mit', 'LOVOO', 'kostenlos', 'mit', 'Single', 'M\xc3\xa4nnern', 'deiner', 'Stadt', 'Die', 'beste', 'App', 'LIESE', 'finden', 'JETZT', 'GRATIS', 'TESTEN', 'LOVOO', 'Chat', 'Flirt', 'Neue', 'Leute', 'stars', '153', '859', 'ratings', 'Install']","['Packaged goods', 'Person']","[0.708368718624115, 0.5171643495559692]",VERY_UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY
4,A20_12,1,['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],[0.956528902053833],[],"['Skin', 'Beauty', 'Text', 'Font', 'Dress', 'Headgear', 'Fashion accessory', 'Advertising', 'Brand', 'Black hair']","[0.9137958288192749, 0.882392942905426, 0.8811547756195068, 0.8314544558525085, 0.7016373872756958, 0.6747809648513794, 0.6411780714988708, 0.5655819177627563, 0.5202584266662598, 0.5165854096412659]","['Bebe Stores', 'Sur La Table']","[0.6830872297286987, 0.6693288683891296]","['badoo\nMEET NEW PEOPLE.\n150 MILLION OF THEM.\nI WANT TO\nWAKE UP IN A\nSTRANGE\nCITY\n- Jude. Manhattan\nMEET ME AT\nBADOO.COM\n', 'badoo', 'MEET', 'NEW', 'PEOPLE', '150', 'MILLION', 'THEM', 'WANT', 'WAKE', 'STRANGE', 'CITY', 'Jude', 'Manhattan', 'MEET', 'BADOO', 'COM']","['Person', 'Hat', 'Dress']","[0.9053522944450378, 0.8445079922676086, 0.6674875020980835]",VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,POSSIBLE
5,A20_13,2,"['VERY_LIKELY', 'VERY_LIKELY']","['VERY_UNLIKELY', 'VERY_UNLIKELY']","['VERY_UNLIKELY', 'VERY_UNLIKELY']","['VERY_UNLIKELY', 'VERY_UNLIKELY']","[0.8268824219703674, 0.8009046316146851]",[],"['Product', 'Text', 'Child', 'Advertising', 'Font', 'Photography', 'Flyer', 'Comfort']","[0.957412600517273, 0.8901308178901672, 0.7116445302963257, 0.6973137259483337, 0.6857237815856934, 0.6242249608039856, 0.5286973714828491, 0.5284175872802734]",['eHarmony'],[0.9332014322280884],"['e Harmony\nCompatible\nPeople...\nGreat\nRelationships!\nNathan and Angela\nMatched by eHarmony\nGet started Now. Simply fill out this form\nand take the questionnaire to receive your matches.\nRegister to Begin Start Now\n', 'Harmony', 'Compatible', 'People', 'Great', 'Relationships', 'Nathan', 'and', 'Angela', 'Matched', 'eHarmony', 'Get', 'started', 'Now', 'Simply', 'fill', 'out', 'this', 'form', 'and', 'take', 'the', 'questionnaire', 'receive', 'your', 'matches', 'Register', 'Begin', 'Start', 'Now']","['Person', 'Clothing']","[0.777252197265625, 0.5578737854957581]",VERY_UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
6,A20_11,1,['VERY_LIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],[0.8980223536491394],[],"['Skin', 'Text', 'Head', 'Forehead', 'Chin', 'Cheek', 'Font', 'Ear', 'Facial hair', 'Neck']","[0.9199628233909607, 0.8901308178901672, 0.8762359619140625, 0.8460902571678162, 0.8275078535079956, 0.7994794845581055, 0.7825835347175598, 0.7343415021896362, 0.730988085269928, 0.7165209650993347]",['Bebe Stores'],[0.6702055931091309],"['Badoo\nMEET NEW PEOPLE.\n150 MILLION OF THEM\nI WANT\nSOMEONE\nTO PUSH MY\nBUTTONS\n- Jimmy. Manhattan\nF\nOR\nMEET ME AT\nBADOO.COM\n', 'Badoo', 'MEET', 'NEW', 'PEOPLE', '150', 'MILLION', 'THEM', 'WANT', 'SOMEONE', 'PUSH', 'BUTTONS', 'Jimmy', 'Manhattan', 'MEET', 'BADOO', 'COM']","['Top', 'Person']","[0.817453145980835, 0.7926273345947266]",VERY_UNLIKELY,POSSIBLE,UNLIKELY,UNLIKELY,POSSIBLE
7,A20_10,0,[],[],[],[],[],[],"['Text', 'Font', 'Logo', 'Heart', 'Poster', 'Graphic design', 'Graphics', 'Brand', 'Illustration', 'Games']","[0.9287942051887512, 0.8616248369216919, 0.743678092956543, 0.7393414974212646, 0.6793007850646973, 0.6137281060218811, 0.5619082450866699, 0.5451956391334534, 0.5451834201812744, 0.5211578011512756]",[],[],"['Find Love\nDating Sites 1 Nov 2011\nBryan Roberts\nFree\n', 'Find', 'Love', 'Dating', 'Sites', 'Nov', '2011', 'Bryan', 'Roberts', 'Free']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
8,A20_04,0,[],[],[],[],[],[],"['Text', 'Font', 'Line', 'Logo']","[0.975615918636322, 0.8908471465110779, 0.8226431012153625, 0.5327439308166504]",[],[],"['Senior Dating Site\nwww.maturefreeandsingle.com/\nEasy, Safe Dating Site For Over 40s\nCreate Your Profile & Join Free!\n', 'Senior', 'Dating', 'Site', 'www', 'maturefreeandsingle', 'com', 'Easy', 'Safe', 'Dating', 'Site', 'For', 'Over', '40s', 'Create', 'Your', 'Profile', 'Join', 'Free']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
9,A20_05,0,[],[],[],[],[],[],"['Text', 'Line', 'Font']","[0.9777475595474243, 0.8646460175514221, 0.8616248369216919]",[],[],"['Meet New People on Badoo, Make Friends, Chat, Flirt\nbadoo.com/en/\nBadoo - chat, date and meet with over 260 million people. Join our community and\nmake new friends in your area.\n260 - English - Guidelines - Dating in London\n', 'Meet', 'New', 'People', 'Badoo', 'Make', 'Friends', 'Chat', 'Flirt', 'badoo', 'com', 'Badoo', 'chat', 'date', 'and', 'meet', 'with', 'over', '260', 'million', 'people', 'Join', 'our', 'community', 'and', 'make', 'new', 'friends', 'your', 'area', '260', 'English', 'Guidelines', 'Dating', 'London']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
10,A20_07,0,[],[],[],[],[],[],"['Heart', 'Text', 'Violet', 'Logo', 'Font', 'Graphics', 'Paper product', 'Rectangle', 'Magenta', 'Square']","[0.9145817160606384, 0.9121394753456116, 0.8561859726905823, 0.7626913189888, 0.6857237815856934, 0.596038281917572, 0.5773124098777771, 0.5338103175163269, 0.5334160923957825, 0.5303882956504822]",['Tokyo FM'],[0.5806074738502502],"['Jazzed Online Dating - #1 Social\nDating Site for Singles 24 May 2011\nJazzed, Inc.\nFree\n', 'Jazzed', 'Online', 'Dating', 'Social', 'Dating', 'Site', 'for', 'Singles', 'May', '2011', 'Jazzed', 'Inc', 'Free']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
11,A20_06,0,[],[],[],[],[],[],"['Heart', 'Text', 'Logo', 'Violet', 'Purple', 'Pink', 'Font', 'Graphics', 'Magenta', 'Brand']","[0.9279894232749939, 0.9079559445381165, 0.888325035572052, 0.8744543194770813, 0.826901912689209, 0.8146790266036987, 0.7825835347175598, 0.6785503029823303, 0.6129621267318726, 0.565345048904419]",['MinuteClinic'],[0.5790551900863647],"['Dating 31 Mar 2015\nExtreme Developer Guild\nFree\n', 'Dating', 'Mar', '2015', 'Extreme', 'Developer', 'Guild', 'Free']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
12,A20_02,0,[],[],[],[],[],[],"['Text', 'Font', 'Product', 'Line', 'Logo', 'Brand', 'Graphics']","[0.9750759601593018, 0.8996278643608093, 0.8828333020210266, 0.7871313095092773, 0.7325320839881897, 0.6202071309089661, 0.5272958874702454]",[],[],"['Ads\nMatch.com Dating Site\nwww.match.com/\n3.8 ***t rating for match.com\nDiscover more ways to meet people.\nJoin Match.com Free now!\n', 'Ads', 'Match', 'com', 'Dating', 'Site', 'www', 'match', 'com', 'rating', 'for', 'match', 'com', 'Discover', 'more', 'ways', 'meet', 'people', 'Join', 'Match', 'com', 'Free', 'now']",[],[],VERY_UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY
13,A20_03,0,[],[],[],[],[],[],"['Text', 'Font', 'Line']","[0.9782176613807678, 0.897642195224762, 0.8157843947410583]",[],[],"['Latin Women Dating S\nwww.amolatina.com/\nUnlimited Dating with Latin Girls\nfor Western Men. Premium Services!\n', 'Latin', 'Women', 'Dating', 'www', 'amolatina', 'com', 'Unlimited', 'Dating', 'with', 'Latin', 'Girls', 'for', 'Western', 'Men', 'Premium', 'Services']",[],[],VERY_UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
14,A20_01,0,[],[],[],[],[],[],"['Text', 'Font', 'Line']","[0.982957124710083, 0.8882409334182739, 0.8854636549949646]",[],[],"['Zoosk Dating Site - The #1 Dating App. Free to Browse\nAd www.zoosk.com/\nPhotos Verified by Zoosk. View Now!\nOver 27 Millions Singles SmartPick Matchmaking\nSign Up Now - SmartPick TM Matching - Single Men\n', 'Zoosk', 'Dating', 'Site', 'The', 'Dating', 'App', 'Free', 'Browse', 'www', 'zoosk', 'com', 'Photos', 'Verified', 'Zoosk', 'View', 'Now', 'Over', 'Millions', 'Singles', 'SmartPick', 'Matchmaking', 'Sign', 'Now', 'SmartPick', 'Matching', 'Single', 'Men']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
15,A18_08,0,[],[],[],[],[],[],"['Automotive lighting', 'Vehicle', 'Font', 'Car', 'Automotive fog light', 'Photography', 'Auto part', 'Wheel']","[0.8043820261955261, 0.7548825740814209, 0.749562680721283, 0.7244493365287781, 0.709961473941803, 0.6242249608039856, 0.6117739677429199, 0.5251690745353699]",[],[],"['Tera\xc2\xae 2 Wheels Electronic\nIntelligent Mini Smart Self-\nbalance Scooter Drifting Board for\nAdults Children Outdoor\nby Tera\n\xe2\x82\xac11.99 - \xc2\xa3323.99 Prime\nMore buying choices\n\xc2\xa3300.00 new (2 offers)\nEligible for FREE UK Delivery\nShow only Tera items\n', 'Tera\xc2\xae', 'Wheels', 'Electronic', 'Intelligent', 'Mini', 'Smart', 'Self', 'balance', 'Scooter', 'Drifting', 'Board', 'for', 'Adults', 'Children', 'Outdoor', 'Tera', '\xe2\x82\xac11', '\xc2\xa3323', 'Prime', 'More', 'buying', 'choices', '\xc2\xa3300', 'new', 'offers', 'Eligible', 'for', 'FREE', 'Delivery', 'Show', 'only', 'Tera', 'items']","['Segway', 'Wheel']","[0.8485331535339355, 0.8332745432853699]",VERY_UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY
16,A18_09,0,[],[],[],[],[],[],"['Backpack', 'Luggage and bags', 'Bag']","[0.8226919770240784, 0.6551181674003601, 0.5759496688842773]",[],[],"['Cylife 40L Tactical Outdoor Sport\nMilitary Rucksacks Backpack\nCamping Hiking Trekking Bag\nby S-ZONE\n\xc2\xa329.75 Prime\nEligible for FREE UK Delivery and 10\nmore promotions\nShow only S-ZONE items\n', 'Cylife', '40L', 'Tactical', 'Outdoor', 'Sport', 'Military', 'Rucksacks', 'Backpack', 'Camping', 'Hiking', 'Trekking', 'Bag', 'ZONE', '\xc2\xa329', 'Prime', 'Eligible', 'for', 'FREE', 'Delivery', 'and', 'more', 'promotions', 'Show', 'only', 'ZONE', 'items']",['Backpack'],[0.8966443538665771],UNLIKELY,VERY_UNLIKELY,UNLIKELY,UNLIKELY,UNLIKELY
17,A18_14,1,['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],[0.3342623710632324],[],"['Footwear', 'Shoe', 'Sneakers', 'Carmine', 'Sportswear', 'Athletic shoe', 'Illustration', 'Walking shoe', 'Graphic design', 'Brand']","[0.9859732985496521, 0.9684353470802307, 0.8170464634895325, 0.7918851375579834, 0.7773279547691345, 0.7463458180427551, 0.6688148975372314, 0.633720874786377, 0.5316992402076721, 0.5202584266662598]",['Valvoline Instant Oil Change'],[0.5572994351387024],"[""PSPlex\nPSD Starch Engine\nadivon\nPOBE\nI'm coming\nDIV\nAUDN\n"", 'PSPlex', 'PSD', 'Starch', 'Engine', 'adivon', 'POBE', 'coming', 'DIV', 'AUDN']","['Shoe', 'Shoe', 'Shoe', 'Person', 'Helmet', 'Footwear']","[0.9338787794113159, 0.9269020557403564, 0.9048922061920166, 0.8661956191062927, 0.711997389793396, 0.5411934852600098]",VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY
18,A18_15,0,[],[],[],[],[],['Warren Street tube station'],"['Rectangle', 'Banner']","[0.5572894215583801, 0.556547224521637]",['Golden Crisp'],[0.5588982105255127],"['\xd0\xbd\xd0\xbe)\nOutdoors\nSALE\n', 'Outdoors', 'SALE']",['Luggage & bags'],[0.6375458240509033],VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
19,A18_12,1,['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],[0.6319019198417664],[],"['Freestyle football', 'Ball', 'Football', 'Font', 'Soccer ball', 'Sportswear', 'Logo', 'Football player', 'Player', 'Soccer']","[0.7881186604499817, 0.7218835353851318, 0.7122805118560791, 0.6857237815856934, 0.6772453188896179, 0.6642760634422302, 0.6613366603851318, 0.6320697665214539, 0.6078453660011292, 0.595893919467926]",[],[],"['PERFECT STRIKE\nT90 ADAPTIVE SHIELD\n...AND PERFECT STRIKE\n', 'PERFECT', 'STRIKE', 'T90', 'ADAPTIVE', 'SHIELD', 'AND', 'PERFECT', 'STRIKE']","['Shorts', 'Person', 'Shoe', 'Shoe', 'Top', 'Shoe', 'Shoe']","[0.9036420583724976, 0.896239697933197, 0.821873664855957, 0.7803031802177429, 0.7226273417472839, 0.6363577246665955, 0.5583485960960388]",VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,UNLIKELY,POSSIBLE
20,A18_13,0,[],[],[],[],[],[],"['Logo', 'Font', 'Brand', 'Graphic design', 'Graphics', 'Cap']","[0.6888015866279602, 0.6857237815856934, 0.5451956391334534, 0.5151030421257019, 0.5036579966545105, 0.5008422136306763]",[],[],"['OUR ONLINE\nSHOP IS OPEN!\nTAKE A LOOK AT OUR EXCELLENT RANGE OF KIT\n', 'OUR', 'ONLINE', 'SHOP', 'OPEN', 'TAKE', 'LOOK', 'OUR', 'EXCELLENT', 'RANGE', 'KIT']","['Shoe', 'Hat', 'Belt', 'Hat', 'Shoe', 'Belt']","[0.7346704006195068, 0.6183525919914246, 0.6129492521286011, 0.5857735276222229, 0.5743553638458252, 0.5062355399131775]",VERY_UNLIKELY,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
21,A18_11,1,['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],['VERY_UNLIKELY'],[0.7267171144485474],[],"['Arm', 'Electric blue', 'Personal protective equipment', 'Advertising', 'Logo']","[0.8031198978424072, 0.7970293164253235, 0.5925366282463074, 0.5489712953567505, 0.5327439308166504]",[],[],"['THE MOST ADVANCED AUDIO SOLUTIONS FOR ATHLET\nINTERVAL WATERPROOF\nHEADPHONE SYSTEM\nSWIM WITH\nYOUR IPOD SHUFFLE\n', 'THE', 'MOST', 'ADVANCED', 'AUDIO', 'SOLUTIONS', 'FOR', 'ATHLET', 'INTERVAL', 'WATERPROOF', 'HEADPHONE', 'SYSTEM', 'SWIM', 'WITH', 'YOUR', 'IPOD', 'SHUFFLE']","['Person', 'Swimwear', 'Hat']","[0.912362813949585, 0.7332268357276917, 0.6521559953689575]",UNLIKELY,VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,POSSIBLE
22,A18_10,0,[],[],[],[],[],[],"['Product', 'Cameras & optics', 'Camera', 'Technology', 'Graphic design', 'Font', 'Camera accessory', 'Photography', 'Electronic device', 'Magenta']","[0.9252941012382507, 0.889057993888855, 0.8550490140914917, 0.7320890426635742, 0.7002546787261963, 0.6857237815856934, 0.6773983836174011, 0.6242249608039856, 0.6098915934562683, 0.5334160923957825]",[],[],"['WiFi\nHD\nSEEM Wifi Action Sport Cam\nCamera Sports 1080P 30fps\nH.264 1.5 Inch 170\xc2\xb0 Outdoor\nSports Home Security HD DV\nCamera...\nby SEEM\n\xc2\xa339.99 Prime\nOnly 2 left in stock - order soon.\nEligible for FREE UK Delivery\n', 'WiFi', 'SEEM', 'Wifi', 'Action', 'Sport', 'Cam', 'Camera', 'Sports', '1080P', '30fps', '264', 'Inch', '170\xc2\xb0', 'Outdoor', 'Sports', 'Home', 'Security', 'Camera', 'SEEM', '\xc2\xa339', 'Prime', 'Only', 'left', 'stock', 'order', 'soon', 'Eligible', 'for', 'FREE', 'Delivery']",['Camera'],[0.8563187718391418],VERY_UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
23,A18_04,0,[],[],[],[],[],[],"['Text', 'Font', 'Line', 'Logo']","[0.9672247767448425, 0.8557851910591125, 0.843008279800415, 0.5535141825675964]",[],[],"['Tennis Rackets\nAd www.milletsports.co.uk/\nUp to 59% off top brand rackets Wilson, Head, Babolat and more!\n', 'Tennis', 'Rackets', 'www', 'milletsports', 'off', 'top', 'brand', 'rackets', 'Wilson', 'Head', 'Babolat', 'and', 'more']",[],[],VERY_UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
24,A18_05,0,[],[],[],[],[],[],"['Text', 'Font', 'Line']","[0.9706863760948181, 0.8616248369216919, 0.8226431012153625]",[],[],"['Football Boots Sale\nAd www.mandmdirect.com/Football-Boots\n4.6**** rating for mandmdirect.com\nUp to 75% off Football Boots. Free P&P over \xc2\xa350. Shop Now!\nDespatched in 24 Hrs Next Day Delivery. Up to 75% Off RRP . Free Delivery\nMand Direct has 1,166 followers on Google+\n', 'Football', 'Boots', 'Sale', 'www', 'mandmdirect', 'com', 'Football', 'Boots', 'rating', 'for', 'mandmdirect', 'com', 'off', 'Football', 'Boots', 'Free', 'over', '\xc2\xa350', 'Shop', 'Now', 'Despatched', 'Hrs', 'Next', 'Day', 'Delivery', 'Off', 'RRP', 'Free', 'Delivery', 'Mand', 'Direct', 'has', '166', 'followers', 'Google']",[],[],VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY
25,A18_07,0,[],[],[],[],[],[],"['Table', 'Product', 'Furniture', 'Rectangle', 'Desk']","[0.9138791561126709, 0.8828333020210266, 0.8388649225234985, 0.5338103175163269, 0.5102788209915161]",[],[],"['Cornilleau Ping Pong Sport One\nOutdoor\nby Cornilleau\n\xc2\xa3254.54 + \xc2\xa39.90 delivery\nMore buying choices\n\xc2\xa3254.54 new (4 offers)\nShow only Cornilleau items\n', 'Cornilleau', 'Ping', 'Pong', 'Sport', 'One', 'Outdoor', 'Cornilleau', '\xc2\xa3254', 'delivery', 'More', 'buying', 'choices', '\xc2\xa3254', 'new', 'offers', 'Show', 'only', 'Cornilleau', 'items']",['Table'],[0.8001861572265625],VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
26,A18_06,0,[],[],[],[],[],[],"['Tent', 'Camping', 'Roof', 'Plant community', 'Recreation', 'Shade']","[0.978201687335968, 0.7015470266342163, 0.6475261449813843, 0.6304817199707031, 0.5942989587783813, 0.5736250877380371]",['Volcom'],[0.5785622000694275],"['Sponsored\nSummit Dome Tent for 4 Persons ideal\nfor camping, outdoor living, GARDEN\nFESTIVAL CAMPING BEACH PITCH\nTENT\nby GBP INTERNATIONAL\n\xc2\xa333.99 $49.99\n', 'Sponsored', 'Summit', 'Dome', 'Tent', 'for', 'Persons', 'ideal', 'for', 'camping', 'outdoor', 'living', 'GARDEN', 'FESTIVAL', 'CAMPING', 'BEACH', 'PITCH', 'TENT', 'GBP', 'INTERNATIONAL', '\xc2\xa333']",['Tent'],[0.9114215970039368],VERY_UNLIKELY,UNLIKELY,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY
